Year,Team,League,Division
2016,BAL,AL,ALE
2016,BOS,AL,ALE
2016,NYY,AL,ALE
2016,TBR,AL,ALE
2016,TOR,AL,ALE
2016,CHW,AL,ALC
2016,CLE,AL,ALC
2016,DET,AL,ALC
2016,KCR,AL,ALC
2016,MIN,AL,ALC
2016,HOU,AL,ALW
2016,LAA,AL,ALW
2016,OAK,AL,ALW
2016,SEA,AL,ALW
2016,TEX,AL,ALW
2016,ATL,NL,NLE
2016,MIA,NL,NLE
2016,NYM,NL,NLE
2016,PHI,NL,NLE
2016,WSN,NL,NLE
2016,CHC,NL,NLC
2016,CIN,NL,NLC
2016,MIL,NL,NLC
2016,PIT,NL,NLC
2016,STL,NL,NLC
2016,ARI,NL,NLW
2016,COL,NL,NLW
2016,LAD,NL,NLW
2016,SDP,NL,NLW
2016,SFG,NL,NLW
2015,BAL,AL,ALE
2015,BOS,AL,ALE
2015,NYY,AL,ALE
2015,TBR,AL,ALE
2015,TOR,AL,ALE
2015,CHW,AL,ALC
2015,CLE,AL,ALC
2015,DET,AL,ALC
2015,KCR,AL,ALC
2015,MIN,AL,ALC
2015,HOU,AL,ALW
2015,LAA,AL,ALW
2015,OAK,AL,ALW
2015,SEA,AL,ALW
2015,TEX,AL,ALW
2015,ATL,NL,NLE
2015,MIA,NL,NLE
2015,NYM,NL,NLE
2015,PHI,NL,NLE
2015,WSN,NL,NLE
2015,CHC,NL,NLC
2015,CIN,NL,NLC
2015,MIL,NL,NLC
2015,PIT,NL,NLC
2015,STL,NL,NLC
2015,ARI,NL,NLW
2015,COL,NL,NLW
2015,LAD,NL,NLW
2015,SDP,NL,NLW
2015,SFG,NL,NLW
2014,BAL,AL,ALE
2014,BOS,AL,ALE
2014,NYY,AL,ALE
2014,TBR,AL,ALE
2014,TOR,AL,ALE
2014,CHW,AL,ALC
2014,CLE,AL,ALC
2014,DET,AL,ALC
2014,KCR,AL,ALC
2014,MIN,AL,ALC
2014,HOU,AL,ALW
2014,LAA,AL,ALW
2014,OAK,AL,ALW
2014,SEA,AL,ALW
2014,TEX,AL,ALW
2014,ATL,NL,NLE
2014,MIA,NL,NLE
2014,NYM,NL,NLE
2014,PHI,NL,NLE
2014,WSN,NL,NLE
2014,CHC,NL,NLC
2014,CIN,NL,NLC
2014,MIL,NL,NLC
2014,PIT,NL,NLC
2014,STL,NL,NLC
2014,ARI,NL,NLW
2014,COL,NL,NLW
2014,LAD,NL,NLW
2014,SDP,NL,NLW
2014,SFG,NL,NLW
2013,BAL,AL,ALE
2013,BOS,AL,ALE
2013,NYY,AL,ALE
2013,TBR,AL,ALE
2013,TOR,AL,ALE
2013,CHW,AL,ALC
2013,CLE,AL,ALC
2013,DET,AL,ALC
2013,KCR,AL,ALC
2013,MIN,AL,ALC
2013,HOU,AL,ALW
2013,LAA,AL,ALW
2013,OAK,AL,ALW
2013,SEA,AL,ALW
2013,TEX,AL,ALW
2013,ATL,NL,NLE
2013,MIA,NL,NLE
2013,NYM,NL,NLE
2013,PHI,NL,NLE
2013,WSN,NL,NLE
2013,CHC,NL,NLC
2013,CIN,NL,NLC
2013,MIL,NL,NLC
2013,PIT,NL,NLC
2013,STL,NL,NLC
2013,ARI,NL,NLW
2013,COL,NL,NLW
2013,LAD,NL,NLW
2013,SDP,NL,NLW
2013,SFG,NL,NLW
2012,BAL,AL,ALE
2012,BOS,AL,ALE
2012,NYY,AL,ALE
2012,TBR,AL,ALE
2012,TOR,AL,ALE
2012,CHW,AL,ALC
2012,CLE,AL,ALC
2012,DET,AL,ALC
2012,KCR,AL,ALC
2012,MIN,AL,ALC
2012,LAA,AL,ALW
2012,OAK,AL,ALW
2012,SEA,AL,ALW
2012,TEX,AL,ALW
2012,ATL,NL,NLE
2012,MIA,NL,NLE
2012,NYM,NL,NLE
2012,PHI,NL,NLE
2012,WSN,NL,NLE
2012,CHC,NL,NLC
2012,CIN,NL,NLC
2012,HOU,NL,NLC
2012,MIL,NL,NLC
2012,PIT,NL,NLC
2012,STL,NL,NLC
2012,ARI,NL,NLW
2012,COL,NL,NLW
2012,LAD,NL,NLW
2012,SDP,NL,NLW
2012,SFG,NL,NLW
2011,BAL,AL,ALE
2011,BOS,AL,ALE
2011,NYY,AL,ALE
2011,TBR,AL,ALE
2011,TOR,AL,ALE
2011,CHW,AL,ALC
2011,CLE,AL,ALC
2011,DET,AL,ALC
2011,KCR,AL,ALC
2011,MIN,AL,ALC
2011,LAA,AL,ALW
2011,OAK,AL,ALW
2011,SEA,AL,ALW
2011,TEX,AL,ALW
2011,ATL,NL,NLE
2011,FLA,NL,NLE
2011,NYM,NL,NLE
2011,PHI,NL,NLE
2011,WSN,NL,NLE
2011,CHC,NL,NLC
2011,CIN,NL,NLC
2011,HOU,NL,NLC
2011,MIL,NL,NLC
2011,PIT,NL,NLC
2011,STL,NL,NLC
2011,ARI,NL,NLW
2011,COL,NL,NLW
2011,LAD,NL,NLW
2011,SDP,NL,NLW
2011,SFG,NL,NLW
2010,BAL,AL,ALE
2010,BOS,AL,ALE
2010,NYY,AL,ALE
2010,TBR,AL,ALE
2010,TOR,AL,ALE
2010,CHW,AL,ALC
2010,CLE,AL,ALC
2010,DET,AL,ALC
2010,KCR,AL,ALC
2010,MIN,AL,ALC
2010,LAA,AL,ALW
2010,OAK,AL,ALW
2010,SEA,AL,ALW
2010,TEX,AL,ALW
2010,ATL,NL,NLE
2010,FLA,NL,NLE
2010,NYM,NL,NLE
2010,PHI,NL,NLE
2010,WSN,NL,NLE
2010,CHC,NL,NLC
2010,CIN,NL,NLC
2010,HOU,NL,NLC
2010,MIL,NL,NLC
2010,PIT,NL,NLC
2010,STL,NL,NLC
2010,ARI,NL,NLW
2010,COL,NL,NLW
2010,LAD,NL,NLW
2010,SDP,NL,NLW
2010,SFG,NL,NLW
2009,BAL,AL,ALE
2009,BOS,AL,ALE
2009,NYY,AL,ALE
2009,TBR,AL,ALE
2009,TOR,AL,ALE
2009,CHW,AL,ALC
2009,CLE,AL,ALC
2009,DET,AL,ALC
2009,KCR,AL,ALC
2009,MIN,AL,ALC
2009,LAA,AL,ALW
2009,OAK,AL,ALW
2009,SEA,AL,ALW
2009,TEX,AL,ALW
2009,ATL,NL,NLE
2009,FLA,NL,NLE
2009,NYM,NL,NLE
2009,PHI,NL,NLE
2009,WSN,NL,NLE
2009,CHC,NL,NLC
2009,CIN,NL,NLC
2009,HOU,NL,NLC
2009,MIL,NL,NLC
2009,PIT,NL,NLC
2009,STL,NL,NLC
2009,ARI,NL,NLW
2009,COL,NL,NLW
2009,LAD,NL,NLW
2009,SDP,NL,NLW
2009,SFG,NL,NLW
2008,BAL,AL,ALE
2008,BOS,AL,ALE
2008,NYY,AL,ALE
2008,TBR,AL,ALE
2008,TOR,AL,ALE
2008,CHW,AL,ALC
2008,CLE,AL,ALC
2008,DET,AL,ALC
2008,KCR,AL,ALC
2008,MIN,AL,ALC
2008,LAA,AL,ALW
2008,OAK,AL,ALW
2008,SEA,AL,ALW
2008,TEX,AL,ALW
2008,ATL,NL,NLE
2008,FLA,NL,NLE
2008,NYM,NL,NLE
2008,PHI,NL,NLE
2008,WSN,NL,NLE
2008,CHC,NL,NLC
2008,CIN,NL,NLC
2008,HOU,NL,NLC
2008,MIL,NL,NLC
2008,PIT,NL,NLC
