"team","score","Year"
"BAL",2.26972563740753,1998
"BOS",2.39942139421712,1998
"NYY",2.66900139323623,1998
"TBD",1.71020439105597,1998
"TOR",2.25848671535327,1998
"CHW",2.38705486001383,1998
"CLE",2.33838157097512,1998
"DET",2.01681428339255,1998
"KCR",1.98105281713884,1998
"MIN",2.0490297410033,1998
"ANA",2.18985854688369,1998
"OAK",2.20770934227097,1998
"SEA",2.38119341937248,1998
"TEX",2.60171873755609,1998
"ATL",2.38683322435745,1998
"FLA",1.9435194436168,1998
"MON",1.87129446448916,1998
"NYM",2.01642075744651,1998
"PHI",2.07671171197412,1998
"CHC",2.3708056584603,1998
"CIN",2.14776035377883,1998
"HOU",2.45325922561052,1998
"MIL",2.05019779850931,1998
"PIT",1.85432770894329,1998
"STL",2.31801025350933,1998
"ARI",1.91971468155458,1998
"COL",2.36287320495513,1998
"LAD",1.88101196621857,1998
"SDP",2.11851397863531,1998
"SFG",2.40112329234916,1998
"BAL",2.27399462293778,1999
"BOS",2.24021098408446,1999
"NYY",2.42135082357056,1999
"TBD",2.07517460792997,1999
"TOR",2.39117557593597,1999
"CHW",2.09094923633303,1999
"CLE",2.73954932599933,1999
"DET",2.0152094080532,1999
"KCR",2.31177797061172,1999
"MIN",1.81858146015911,1999
"ANA",1.90746232103429,1999
"OAK",2.36728553260862,1999
"SEA",2.30239398747171,1999
"TEX",2.54198045041335,1999
"ATL",2.35554757499503,1999
"FLA",1.93383200169341,1999
"MON",2.01673743410988,1999
"NYM",2.38805693436391,1999
"PHI",2.40164013871116,1999
"CHC",2.10977614139529,1999
"CIN",2.37444735053206,1999
"HOU",2.25240938798277,1999
"MIL",2.2656921714363,1999
"PIT",2.19024345649112,1999
"STL",2.25891350970896,1999
"ARI",2.4914963924542,1999
"COL",2.54587274895178,1999
"LAD",2.1889237767666,1999
"SDP",1.96384824750669,1999
"SFG",2.41542568250705,1999
"BAL",2.12238203846963,2000
"BOS",2.13872413850021,2000
"NYY",2.37269447592642,2000
"TBD",2.03367364406524,2000
"TOR",2.36396374147981,2000
"CHW",2.64167994717096,2000
"CLE",2.56812538715629,2000
"DET",2.18058259684141,2000
"KCR",2.36794455963499,2000
"MIN",1.98594335876064,2000
"ANA",2.32217511870327,2000
"OAK",2.55383007828458,2000
"SEA",2.44976338498527,2000
"TEX",2.32589857591949,2000
"ATL",2.2386774996425,2000
"FLA",2.0021620159376,2000
"MON",2.01814679787616,2000
"NYM",2.21984358779277,2000
"PHI",1.97972159969991,2000
"CHC",2.10868474485332,2000
"CIN",2.22324630651219,2000
"HOU",2.56524051937036,2000
"MIL",2.02145802142185,2000
"PIT",2.17758357897555,2000
"STL",2.42508535528928,2000
"ARI",2.1592051564474,2000
"COL",2.70730775955596,2000
"LAD",2.16020718017322,2000
"SDP",2.05915464035155,2000
"SFG",2.52237074115937,2000
"BAL",1.92348899792866,2001
"BOS",2.16544914630582,2001
"NYY",2.27938775223987,2001
"TBD",1.90357977053247,2001
"TOR",2.13721753604971,2001
"CHW",2.19133768423188,2001
"CLE",2.46436719455007,2001
"DET",2.01760302219224,2001
"KCR",2.07036733846394,2001
"MIN",2.14770869257041,2001
"ANA",1.96192703395394,2001
"OAK",2.48699427633341,2001
"SEA",2.573146764263,2001
"TEX",2.54899935340028,2001
"ATL",2.04217963235471,2001
"FLA",2.13313000606655,2001
"MON",1.90711194726272,2001
"NYM",1.84362750227769,2001
"PHI",2.1178145037238,2001
"CHC",2.1654911785705,2001
"CIN",2.10369598399941,2001
"HOU",2.37024131225464,2001
"MIL",2.08992223865341,2001
"PIT",1.88041786043139,2001
"STL",2.26908988823538,2001
"ARI",2.28941186787113,2001
"COL",2.73074976081874,2001
"LAD",2.16366636874103,2001
"SDP",2.2851297177366,2001
"SFG",2.29778720164911,2001
"BAL",1.91738537030628,2002
"BOS",2.41028025641739,2002
"NYY",2.55278204392355,2002
"TBD",1.98361417486808,2002
"TOR",2.32401974021095,2002
"CHW",2.39697505179052,2002
"CLE",2.07889393983003,2002
"DET",1.62177964746281,2002
"KCR",2.06280949100602,2002
"MIN",2.15065920057846,2002
"ANA",2.39094269161043,2002
"OAK",2.29139088246387,2002
"SEA",2.31183752515182,2002
"TEX",2.4675270660648,2002
"ATL",2.0340996440986,2002
"FLA",2.06134555814636,2002
"MON",2.1442167020136,2002
"NYM",2.03547938434519,2002
"PHI",2.11313467579627,2002
"CHC",2.00847035873367,2002
"CIN",2.11907974404719,2002
"HOU",2.17348838419427,2002
"MIL",1.83105449357115,2002
"PIT",1.87200897197684,2002
"STL",2.2539714244516,2002
"ARI",2.35280164944771,2002
"COL",2.32119658171488,2002
"LAD",2.03818147206875,2002
"SDP",1.92835709140571,2002
"SFG",2.22968007074776,2002
"BAL",2.08113997238688,2003
"BOS",2.69829204097804,2003
"NYY",2.49709663166644,2003
"TBD",2.00236646011187,2003
"TOR",2.46928564258865,2003
"CHW",2.16324586264198,2003
"CLE",1.89771618031596,2003
"DET",1.67486020834827,2003
"KCR",2.37264742425227,2003
"MIN",2.2174008897251,2003
"ANA",2.09951321841965,2003
"OAK",2.16837393847734,2003
"SEA",2.22889134828551,2003
"TEX",2.43946143859784,2003
"ATL",2.6677820251444,2003
"FLA",2.16428871258517,2003
"MON",2.04761226581375,2003
"NYM",1.88737940934014,2003
"PHI",2.30700296390726,2003
"CHC",2.04109528021694,2003
"CIN",1.99394041821932,2003
"HOU",2.20417511909602,2003
"MIL",2.06345326780427,2003
"PIT",2.127389983731,2003
"STL",2.48197563244934,2003
"ARI",2.04550921586496,2003
"COL",2.42886205634822,2003
"LAD",1.61166126185771,2003
"SDP",1.95641224396913,2003
"SFG",2.20165049174604,2003
"BAL",2.33167740455154,2004
"BOS",2.60791261694086,2004
"NYY",2.4837036932375,2004
"TBD",1.99612016570685,2004
"TOR",1.99407407592586,2004
"CHW",2.35644799603993,2004
"CLE",2.33472786717631,2004
"DET",2.26650445673305,2004
"KCR",2.00056179776475,2004
"MIN",2.10714384746539,2004
"ANA",2.30803370182116,2004
"OAK",2.18187883138517,2004
"SEA",1.94476461899782,2004
"TEX",2.37583356514758,2004
"ATL",2.30632117092382,2004
"FLA",2.04079855642132,2004
"MON",1.87040953877073,2004
"NYM",1.97082537907465,2004
"PHI",2.41923316029612,2004
"CHC",2.25353472191924,2004
"CIN",2.20252084401196,2004
"HOU",2.31216959407503,2004
"MIL",1.82712174214042,2004
"PIT",1.98046002696646,2004
"STL",2.42676973605718,2004
"ARI",1.74014460637141,2004
"COL",2.39807997410432,2004
"LAD",2.14254047785574,2004
"SDP",2.15766163520804,2004
"SFG",2.46273488685611,2004
"BAL",2.10386527150257,2005
"BOS",2.65743973342686,2005
"NYY",2.58245699923582,2005
"TBD",2.17626645679642,2005
"TOR",2.24003792140078,2005
"CHW",2.14522678808205,2005
"CLE",2.25395843917798,2005
"DET",2.08233010745174,2005
"KCR",2.08829330025565,2005
"MIN",1.99214553194917,2005
